"","Estimate","lwr","upr","p_value","std_error","model"
"LF - UF16",0.233116673814517,-0.393697798326218,0.859931145955251,0.774151838714587,0.244338465765667,"PD_q1_large_STM"
"LBF - UF16",-0.320016292956813,-0.973394299351184,0.333361713437559,0.588876513862127,0.254693193509397,"PD_q1_large_STM"
"SF - UF16",-1.35988133538075,-1.97745769483606,-0.742304975925429,7.50879797228876e-08,0.240737358292165,"PD_q1_large_STM"
"LBF - LF16",-0.553132966771329,-1.11800162654563,0.0117356930029691,0.0575178470500172,0.220191376910921,"PD_q1_large_STM"
"SF - LF16",-1.59299800919526,-2.12021339214498,-1.06578262624554,2.14273043752655e-14,0.205513758095027,"PD_q1_large_STM"
"SF - LBF16",-1.03986504242393,-1.5792222747884,-0.500507810059464,3.0598583055097e-06,0.210246770795621,"PD_q1_large_STM"
"LF - UF17",-0.0249308872330571,-0.803134689352629,0.753272914886515,0.999799460581054,0.303150059033656,"PD_q2_large_STM"
"LBF - UF17",-0.336968130779882,-1.13498463289802,0.46104837133826,0.698086400459129,0.310868115868926,"PD_q2_large_STM"
"SF - UF17",-0.68249877924534,-1.43130396843363,0.0663064099429457,0.0888902872252747,0.291697800356233,"PD_q2_large_STM"
"LBF - LF17",-0.312037243546825,-1.02623372000511,0.402159232911458,0.674862988662257,0.278215942160985,"PD_q2_large_STM"
"SF - LF17",-0.657567892012283,-1.3163208659622,0.00118508193763156,0.0504736996364492,0.256617871048166,"PD_q2_large_STM"
"SF - LBF17",-0.345530648465458,-1.0275751196749,0.336513822743988,0.561035779826171,0.265691096789261,"PD_q2_large_STM"
"LF - UF18",0.592070797899428,-0.194375509212587,1.37851710501144,0.210930038443222,0.309294076362234,"TD_q0_small_PGM"
"LBF - UF18",-0.290327368952628,-1.10651498563039,0.525860247725136,0.793623558740758,0.320990756464556,"TD_q0_small_PGM"
"SF - UF18",-1.18704325451908,-2.12213788439011,-0.251948624648054,0.00653112856840998,0.367754578083422,"TD_q0_small_PGM"
"LBF - LF18",-0.882398166852056,-1.33183369780764,-0.432962635896471,2.13078374922127e-06,0.17675427575182,"TD_q0_small_PGM"
"SF - LF18",-1.77911405241851,-2.41319760482245,-1.14503050001457,2.87347923233483e-12,0.249372760611524,"TD_q0_small_PGM"
"SF - LBF18",-0.896715885566453,-1.55052279832615,-0.242908972806755,0.00261195903784583,0.257129575627154,"TD_q0_small_PGM"
"LF - UF19",0.438058299200001,-0.392862225580295,1.2689788239803,0.523282009114897,0.327075691882071,"TD_q1_small_PGM"
"LBF - UF19",-0.371689292409889,-1.23530567375741,0.491927088937633,0.68150969716424,0.339945779440962,"TD_q1_small_PGM"
"SF - UF19",-1.07323612796365,-2.0612033233065,-0.0852689326207954,0.0274152037744509,0.388894057056774,"TD_q1_small_PGM"
"LBF - LF19",-0.80974759160989,-1.28091811143946,-0.33857707178032,5.8846131022583e-05,0.185467104460369,"TD_q1_small_PGM"
"SF - LF19",-1.51129442716365,-2.17691872836751,-0.845670125959792,6.03275934762948e-07,0.262010050729384,"TD_q1_small_PGM"
"SF - LBF19",-0.701546835553761,-1.38874113340374,-0.0143525377037852,0.0435051963669042,0.270500660079524,"TD_q1_small_PGM"
"LF - UF20",0.272442618309158,-0.6043936001708,1.14927883678912,0.852478017489415,0.344968592779912,"TD_q2_small_PGM"
"LBF - UF20",-0.40130931115894,-1.31036181962175,0.507743197303866,0.663792918602077,0.357643261076847,"TD_q2_small_PGM"
"SF - UF20",-0.928165432683115,-1.97072011458869,0.114389249222457,0.100423297132669,0.410166247622098,"TD_q2_small_PGM"
"LBF - LF20",-0.673751929468098,-1.17754891823267,-0.169954940703524,0.00317634061974226,0.198205930136136,"TD_q2_small_PGM"
"SF - LF20",-1.20060805099227,-1.91072726438157,-0.490488837602974,8.51194382083253e-05,0.279378087476303,"TD_q2_small_PGM"
"SF - LBF20",-0.526856121524176,-1.25841551146221,0.204703268413859,0.247090356175513,0.287813171904946,"TD_q2_small_PGM"
"LF - UF21",0.905833107172783,0.0845334342476058,1.72713278009796,0.0231725194194763,0.323282442377229,"FD_q0_small_PGM"
"LBF - UF21",0.198699874330792,-0.655118151109244,1.05251789977083,0.931241014860269,0.336082413897545,"FD_q0_small_PGM"
"SF - UF21",-0.824987617592708,-1.80151126667154,0.151536031486124,0.130338502579703,0.384382169773602,"FD_q0_small_PGM"
"LBF - LF21",-0.707133232841991,-1.17226327836922,-0.242003187314762,0.000502560025143595,0.183085884602286,"FD_q0_small_PGM"
"SF - LF21",-1.73082072476549,-2.38804951815131,-1.07359193137967,6.35625996281419e-11,0.258700370316308,"FD_q0_small_PGM"
"SF - LBF21",-1.0236874919235,-1.70235085400193,-0.345024129845065,0.000620995513951783,0.267137509580679,"FD_q0_small_PGM"
"LF - UF22",0.631942896887312,-0.242412289877311,1.50629808365194,0.242760418905308,0.343805702941084,"FD_q1_small_PGM"
"LBF - UF22",-0.0517596518663616,-0.963238505490632,0.859719201757909,0.998858265939247,0.358403121214154,"FD_q1_small_PGM"
"SF - UF22",-0.806454228803876,-1.84593605496454,0.23302759735679,0.187289227362028,0.408735243236862,"FD_q1_small_PGM"
"LBF - LF22",-0.683702548753674,-1.17151199056148,-0.195893106945863,0.00177601779510528,0.191811829541054,"FD_q1_small_PGM"
"SF - LF22",-1.43839712569119,-2.12935424252807,-0.747440008854311,2.23203789029291e-06,0.271691642998393,"FD_q1_small_PGM"
