"","stem","region","diversity","model","pairs","Df","SumsOfSqs","F.Model","R2","OmegaSq_degrad","OmegaSq_catchment","p.value","p.adjusted","sig","q_value"
"84","small","PGM","FD","small_PGM_FD_q1","UF vs SF",1,0.0692774603507937,8.71481123288634,0.244011124014054,0.457028599766538,0.640751254847408,0.001,0.006,"*","q1"
"85","small","PGM","FD","small_PGM_FD_q2","LF vs LBF",1,0.364748655996877,9.49577496557312,0.0994365977866184,0.112505100086547,0.214904105230774,0.001,0.006,"*","q2"
"86","small","PGM","FD","small_PGM_FD_q2","LBF vs SF",1,0.208375670385631,3.55556886681465,0.05776193660898,0.055464998445566,0.208301182234415,0.023,0.138,"","q2"
"87","small","PGM","FD","small_PGM_FD_q2","UF vs LBF",1,0.345143583438826,6.83767007246135,0.110574510075315,0.117806134250223,0.200216725584225,0.003,0.018,".","q2"
"88","small","PGM","FD","small_PGM_FD_q2","LF vs SF",1,0.309467159881414,14.7944013321838,0.203235428294441,0.292018411315661,0.417149663495487,0.001,0.006,"*","q2"
"89","small","PGM","FD","small_PGM_FD_q2","UF vs LF",1,0.0955228478309643,8.89949414512614,0.13927331138043,0.183484787762758,0.347382033901695,0.001,0.006,"*","q2"
"90","small","PGM","FD","small_PGM_FD_q2","UF vs SF",1,0.215480551913932,8.48034139950189,0.239015214200305,0.443417795730771,0.631709676333874,0.001,0.006,"*","q2"
"91","small","PGM","PD","small_PGM_PD_q0","LF vs LBF",1,0.694055387681704,5.24169456724791,0.0574484570032248,0.0551242496388983,0.142625793288531,0.001,0.006,"*","q0"
"92","small","PGM","PD","small_PGM_PD_q0","LBF vs SF",1,0.876066730600777,6.01286842374394,0.0939321822596786,0.0912823364877057,0.140195933148016,0.001,0.006,"*","q0"
"93","small","PGM","PD","small_PGM_PD_q0","UF vs LBF",1,1.33436446075541,9.8934844058755,0.152457284370752,0.153959693316061,0.126077121547848,0.001,0.006,"*","q0"
"94","small","PGM","PD","small_PGM_PD_q0","LF vs SF",1,1.52325258466305,12.16122129662,0.173332520042747,0.181036182801661,0.143168086189738,0.001,0.006,"*","q0"
"95","small","PGM","PD","small_PGM_PD_q0","UF vs LF",1,0.756680069620797,6.67771576753334,0.108267883861037,0.107893438931964,0.149448884462459,0.001,0.006,"*","q0"
"96","small","PGM","PD","small_PGM_PD_q0","UF vs SF",1,1.45563624557773,11.9260156519192,0.306376479898765,0.300390650974819,0.106430192730279,0.001,0.006,"*","q0"
"97","small","PGM","PD","small_PGM_PD_q1","LF vs LBF",1,0.418287915486205,8.87344984439116,0.0935293262650947,0.102666435478779,0.194672899174462,0.001,0.006,"*","q1"
"98","small","PGM","PD","small_PGM_PD_q1","LBF vs SF",1,0.452411846195915,7.01022004287028,0.10783258444976,0.111890822197418,0.176007553575845,0.001,0.006,"*","q1"
"99","small","PGM","PD","small_PGM_PD_q1","UF vs LBF",1,0.703400948367625,13.0237910855262,0.191459353818599,0.210649058275877,0.191038080849297,0.001,0.006,"*","q1"
"100","small","PGM","PD","small_PGM_PD_q1","LF vs SF",1,0.646580793060184,16.9509451576404,0.22616052568768,0.25425297117566,0.204407367685864,0.001,0.006,"*","q1"
"101","small","PGM","PD","small_PGM_PD_q1","UF vs LF",1,0.32546454556289,12.4329581592031,0.184375096371274,0.21097157984996,0.228108763714786,0.001,0.006,"*","q1"
"102","small","PGM","PD","small_PGM_PD_q1","UF vs SF",1,0.635520794959276,15.200083474719,0.360190839049524,0.420334951126071,0.294919466433966,0.001,0.006,"*","q1"
"103","small","PGM","PD","small_PGM_PD_q2","LF vs LBF",1,0.151915507359609,5.34603560752066,0.0585250971425903,0.0585392045863514,0.170665832543212,0.012,0.072,"","q2"
"104","small","PGM","PD","small_PGM_PD_q2","LBF vs SF",1,0.121359108441544,2.61592108423349,0.0431556765523423,0.0335724860608542,0.147550710533363,0.075,0.45,"","q2"
"105","small","PGM","PD","small_PGM_PD_q2","UF vs LBF",1,0.124114725570306,3.12929029406441,0.0538332788553577,0.0437286005587026,0.128274260868642,0.055,0.33,"","q2"
"106","small","PGM","PD","small_PGM_PD_q2","LF vs SF",1,0.172259226533672,12.3776441591934,0.175874658878824,0.257651400233973,0.424554281535414,0.002,0.012,".","q2"
"107","small","PGM","PD","small_PGM_PD_q2","UF vs LF",1,0.0796774544312372,14.7133002780901,0.211054421744458,0.288233659278662,0.380589592616046,0.001,0.006,"*","q2"
"108","small","PGM","PD","small_PGM_PD_q2","UF vs SF",1,0.0669170074715359,3.31642608718835,0.109393702201259,0.218730325925373,0.619627192976616,0.036,0.216,"","q2"
"109","large","STM","TD","large_STM_TD_q0","LF vs SF",1,3.24770168056524,11.2774290843557,0.167625743698016,0.167690944024075,0.107593126431018,0.001,0.006,"*","q0"
"110","large","STM","TD","large_STM_TD_q0","LBF vs SF",1,1.67038445456018,5.51637962967289,0.094270692489588,0.0905028689184925,0.143178844217229,0.001,0.006,"*","q0"
"111","large","STM","TD","large_STM_TD_q0","UF vs SF",1,2.72666977980888,9.38389875263336,0.166428696138986,0.167142582001256,0.129058314052818,0.001,0.006,"*","q0"
"112","large","STM","TD","large_STM_TD_q0","LF vs LBF",1,0.612765609058211,2.12868728368536,0.0433288044395246,0.0282665439069456,0.117913759353409,0.001,0.006,"*","q0"
"113","large","STM","TD","large_STM_TD_q0","UF vs LF",1,0.30225132522863,1.11265867354109,0.026421002819282,0.00506920557302791,0.083580098405856,0.267,1,"","q0"
"114","large","STM","TD","large_STM_TD_q0","UF vs LBF",1,0.676044478239353,2.32292871481668,0.0576081348466914,0.0406046253657124,0.131428984762563,0.001,0.006,"*","q0"
"115","large","STM","TD","large_STM_TD_q1","LF vs SF",1,3.84391408310356,13.5239162018803,0.194521783879524,0.208206438568883,0.16298750771084,0.001,0.006,"*","q1"
"116","large","STM","TD","large_STM_TD_q1","LBF vs SF",1,1.76296702653939,5.80364213740238,0.0986952835989549,0.107291627057334,0.230752455133223,0.001,0.006,"*","q1"
"117","large","STM","TD","large_STM_TD_q1","UF vs SF",1,3.19751590254505,11.0417093445101,0.190237494195275,0.214645376838235,0.2254390023938,0.001,0.006,"*","q1"
"118","large","STM","TD","large_STM_TD_q1","LF vs LBF",1,0.788741704317373,2.77730176684364,0.0557945422564786,0.0462729189536926,0.171668880923528,0.001,0.006,"*","q1"
"119","large","STM","TD","large_STM_TD_q1","UF vs LF",1,0.294402519616814,1.11161368927349,0.0263968438131031,0.00633131427926661,0.122245688683329,0.281,1,"","q1"
"120","large","STM","TD","large_STM_TD_q1","UF vs LBF",1,0.886289342458681,3.05025357028958,0.0743053527079117,0.0673019456588831,0.206599034653111,0.001,0.006,"*","q1"
"121","large","STM","TD","large_STM_TD_q2","LF vs SF",1,4.05435204328783,12.5783540309886,0.183415805303592,0.200460408778528,0.185316683210319,0.001,0.006,"*","q2"
"122","large","STM","TD","large_STM_TD_q2","LBF vs SF",1,1.85047373799171,5.31015673924785,0.0910674406689366,0.100186793381183,0.24762367632343,0.001,0.006,"*","q2"
"123","large","STM","TD","large_STM_TD_q2","UF vs SF",1,3.26550372918298,9.79653707815398,0.172484760200672,0.204355937151036,0.270585327264819,0.001,0.006,"*","q2"
"124","large","STM","TD","large_STM_TD_q2","LF vs LBF",1,1.06257031639211,3.3955522813989,0.067378015076386,0.0623181526504515,0.195631413393741,0.001,0.006,"*","q2"
"125","large","STM","TD","large_STM_TD_q2","UF vs LF",1,0.282617816411573,0.973316795921381,0.0231889416948808,0.00362151951937563,0.152001231307839,0.489,1,"","q2"
"126","large","STM","TD","large_STM_TD_q2","UF vs LBF",1,1.08794989213451,3.35460439732457,0.08111803863711,0.0789342505494923,0.233108034515091,0.001,0.006,"*","q2"
"127","large","STM","FD","large_STM_FD_q0","LF vs SF",1,0.036884556450299,12.8949318198856,0.18716807578237,0.191632605252875,0.121933694478931,0.001,0.006,"*","q0"
"128","large","STM","FD","large_STM_FD_q0","LBF vs SF",1,0.0204425000060543,6.37071855900058,0.107304050104591,0.105767956128067,0.146477544803578,0.001,0.006,"*","q0"
"129","large","STM","FD","large_STM_FD_q0","UF vs SF",1,0.0294382473751778,9.7786305292565,0.172223782752524,0.191642628224561,0.217766647315012,0.001,0.006,"*","q0"
"130","large","STM","FD","large_STM_FD_q0","LF vs LBF",1,0.00440931868929021,2.03488084609593,0.0414986395599235,0.0257818295622112,0.109871854624293,0.002,0.012,".","q0"
"131","large","STM","FD","large_STM_FD_q0","UF vs LF",1,0.00208214103377203,1.1651565683074,0.0276331611960186,0.00636996439371432,0.0829326540775209,0.219,1,"","q0"
"132","large","STM","FD","large_STM_FD_q0","UF vs LBF",1,0.00490375824808431,2.24096770801804,0.0556887131611283,0.0393978647115332,0.144854744033951,0.001,0.006,"*","q0"
"133","large","STM","FD","large_STM_FD_q1","LF vs SF",1,0.119750163192956,7.94895783586139,0.124301600915281,0.125939941843163,0.14604862861335,0.001,0.006,"*","q1"
"134","large","STM","FD","large_STM_FD_q1","LBF vs SF",1,0.0625707775976943,3.60575257796943,0.0636994018055467,0.0642721069124265,0.238513922574702,0.009,0.054,"","q1"
"135","large","STM","FD","large_STM_FD_q1","UF vs SF",1,0.0974051698902683,5.48063222605654,0.104431520612197,0.153487466702155,0.435265916839051,0.001,0.006,"*","q1"
"136","large","STM","FD","large_STM_FD_q1","LF vs LBF",1,0.00663356311896924,2.0929532148353,0.0426324569572408,0.0393517994363308,0.295280324747646,0.048,0.288,"","q1"
"137","large","STM","FD","large_STM_FD_q1","UF vs LF",1,0.00190218014311582,1.20788281150712,0.0286174697958984,0.011135412136462,0.179071632228126,0.327,1,"","q1"
"138","large","STM","FD","large_STM_FD_q1","UF vs LBF",1,0.0104035102538629,2.81086968198383,0.0688755153685123,0.093686108699559,0.439912055822746,0.01,0.06,"","q1"
"139","large","STM","FD","large_STM_FD_q2","LF vs SF",1,0.451969266848041,10.7433283829805,0.160964828144832,0.179947980184909,0.21145992158427,0.001,0.006,"*","q2"
"140","large","STM","FD","large_STM_FD_q2","LBF vs SF",1,0.222144571927551,4.36571122274948,0.0761031481994104,0.082242153068045,0.256498743090905,0.001,0.006,"*","q2"
"141","large","STM","FD","large_STM_FD_q2","UF vs SF",1,0.365498689710248,7.43185095841039,0.136534966707063,0.198520557211747,0.424069610308359,0.001,0.006,"*","q2"
"142","large","STM","FD","large_STM_FD_q2","LF vs LBF",1,0.0594967344053861,3.5182475167213,0.0696431030303808,0.0757795697633411,0.290168543777112,0.001,0.006,"*","q2"
"143","large","STM","FD","large_STM_FD_q2","UF vs LF",1,0.00837531743897969,0.838707266287611,0.0200462041274257,0.00218175345106733,0.224958869172803,0.571,1,"","q2"
"144","large","STM","FD","large_STM_FD_q2","UF vs LBF",1,0.0673725138543498,3.4118697524373,0.0823886912818394,0.109811286464372,0.41257418886788,0.002,0.012,".","q2"
"145","large","STM","PD","large_STM_PD_q0","LF vs SF",1,2.1841394659777,14.479679680474,0.205444743025493,0.204875407926246,0.088986289363863,0.001,0.006,"*","q0"
"146","large","STM","PD","large_STM_PD_q0","LBF vs SF",1,1.03559514620124,6.59194593128501,0.11061806806722,0.107704847829223,0.132721992994929,0.001,0.006,"*","q0"
"147","large","STM","PD","large_STM_PD_q0","UF vs SF",1,1.79675856018438,11.8327964609916,0.201125854502552,0.207324692032725,0.138495200193311,0.001,0.006,"*","q0"
"148","large","STM","PD","large_STM_PD_q0","LF vs LBF",1,0.40742961376247,2.85990259303986,0.0573587681544946,0.0438067395267844,0.11435029131282,0.001,0.006,"*","q0"
"149","large","STM","PD","large_STM_PD_q0","UF vs LF",1,0.126826823519632,0.944373257944518,0.022514897341222,0.000444005916765516,0.0701555967858617,0.548,1,"","q0"
"150","large","STM","PD","large_STM_PD_q0","UF vs LBF",1,0.384968317919999,2.71640092147852,0.0667151531078862,0.0507699316257618,0.128874119304786,0.001,0.006,"*","q0"
"151","large","STM","PD","large_STM_PD_q1","LF vs SF",1,0.92696664585301,16.1876125194941,0.224243633422877,0.244282138954798,0.175171977993088,0.001,0.006,"*","q1"
"152","large","STM","PD","large_STM_PD_q1","LBF vs SF",1,0.409025802558678,6.07922812632425,0.102899586184937,0.113115160307737,0.234781161961256,0.001,0.006,"*","q1"
"153","large","STM","PD","large_STM_PD_q1","UF vs SF",1,0.725515605849421,11.2909241658355,0.193699522308365,0.254637452344141,0.353940464110482,0.001,0.006,"*","q1"
"154","large","STM","PD","large_STM_PD_q1","LF vs LBF",1,0.152276517509243,4.08077214606978,0.0798886151211745,0.0808169651342905,0.22390866977492,0.001,0.006,"*","q1"
"155","large","STM","PD","large_STM_PD_q1","UF vs LF",1,0.0284401747413128,0.965337105384275,0.02300320149842,0.00306000960379302,0.141337350113983,0.508,1,"","q1"
"156","large","STM","PD","large_STM_PD_q1","UF vs LBF",1,0.161541602368392,3.91713587501044,0.0934495115957028,0.101866673083902,0.282027945378516,0.001,0.006,"*","q1"
"157","large","STM","PD","large_STM_PD_q2","LF vs SF",1,0.128006138045096,3.74116159784198,0.0626228465898648,0.0599404526943749,0.198073436823878,0.008,0.048,".","q2"
