"Region","Plot","Order.q","Size","qD","qAUC","qPD","Degrad"
"PGM","269_1",1,"small",43.3855348617954,6.92882989192233,6.84199123991876,"Logged-and-burned"
"PGM","269_1",2,"small",32.4180064308682,5.49137954142354,2.8841376888558,"Logged-and-burned"
"PGM","269_10",0,"small",55,8.778453834808,20.3638446238309,"Logged"
"PGM","269_10",1,"small",38.6195461981571,6.37873022347023,7.32156554910105,"Logged"
"PGM","269_10",2,"small",25.489396411093,4.8677466010609,2.97357625990593,"Logged"
"PGM","269_11",0,"small",74,9.80120372134594,21.9809355881577,"Logged"
"PGM","269_11",1,"small",51.0036396559119,7.24973175726856,6.67059575747079,"Logged"
"PGM","269_11",2,"small",32.560794044665,5.43246552113614,2.67046993379575,"Logged"
"PGM","269_2",0,"small",42,7.07327407734402,16.8895970654921,"Logged-and-burned"
"PGM","269_2",1,"small",31.1496322191682,5.45136822440322,5.57997585140606,"Logged-and-burned"
"PGM","269_2",2,"small",23.4112554112554,4.39871914520309,2.50679628497886,"Logged-and-burned"
"PGM","269_4",0,"small",67,9.74206963831163,23.8496200361476,"Logged"
"PGM","269_4",1,"small",53.4287092443518,7.75972601539717,7.84923571449809,"Logged"
"PGM","269_4",2,"small",42.753986332574,6.31485795020618,2.88335148228555,"Logged"
"PGM","269_6",0,"small",50,8.00408754338284,19.1022301346319,"Logged-and-burned"
"PGM","269_6",1,"small",31.8051651437187,5.59365261727475,6.76855527153902,"Logged-and-burned"
"PGM","269_6",2,"small",18.9896238651102,4.14540189764587,3.35729365996444,"Logged-and-burned"
"PGM","269_7",0,"small",58,8.97481905893027,21.0049610561084,"Logged"
"PGM","269_7",1,"small",48.6272873351435,7.37797931663449,7.04936958452937,"Logged"
"PGM","269_7",2,"small",40.4645161290323,6.19449100008721,2.78336710647683,"Logged"
"PGM","269_8",0,"small",70,9.69604900007233,22.1067008455857,"Logged-and-burned"
"PGM","269_8",1,"small",56.0626971313712,7.53342174605388,7.43493997250205,"Logged-and-burned"
"PGM","269_8",2,"small",45.4439834024896,6.18966004739461,3.27977085469831,"Logged-and-burned"
"PGM","274_1",0,"small",71,10.5042673218661,25.4708590334692,"Logged-and-burned"
"PGM","274_1",1,"small",55.8719977083659,8.12715535062689,7.53601920688963,"Logged-and-burned"
"PGM","274_1",2,"small",43.2882882882883,6.56119891758959,2.8413181167883,"Logged-and-burned"
